prefcode,prefname,citycode,cityname,address
01,北海道,01101,札幌市中央区,北海道札幌市中央区
01,北海道,01102,札幌市北区,北海道札幌市北区
01,北海道,01103,札幌市東区,北海道札幌市東区
01,北海道,01104,札幌市白石区,北海道札幌市白石区
01,北海道,01105,札幌市豊平区,北海道札幌市豊平区
01,北海道,01106,札幌市南区,北海道札幌市南区
01,北海道,01107,札幌市西区,北海道札幌市西区
01,北海道,01108,札幌市厚別区,北海道札幌市厚別区
01,北海道,01109,札幌市手稲区,北海道札幌市手稲区
01,北海道,01110,札幌市清田区,北海道札幌市清田区
01,北海道,01202,函館市,北海道函館市
01,北海道,01203,小樽市,北海道小樽市
01,北海道,01204,旭川市,北海道旭川市
01,北海道,01205,室蘭市,北海道室蘭市
01,北海道,01206,釧路市,北海道釧路市
01,北海道,01207,帯広市,北海道帯広市
01,北海道,01208,北見市,北海道北見市
01,北海道,01209,夕張市,北海道夕張市
01,北海道,01210,岩見沢市,北海道岩見沢市
01,北海道,01211,網走市,北海道網走市
01,北海道,01212,留萌市,北海道留萌市
01,北海道,01213,苫小牧市,北海道苫小牧市
01,北海道,01214,稚内市,北海道稚内市
01,北海道,01215,美唄市,北海道美唄市
01,北海道,01216,芦別市,北海道芦別市
01,北海道,01217,江別市,北海道江別市
01,北海道,01218,赤平市,北海道赤平市
01,北海道,01219,紋別市,北海道紋別市
01,北海道,01220,士別市,北海道士別市
01,北海道,01221,名寄市,北海道名寄市
01,北海道,01222,三笠市,北海道三笠市
01,北海道,01223,根室市,北海道根室市
01,北海道,01224,千歳市,北海道千歳市
01,北海道,01225,滝川市,北海道滝川市
01,北海道,01226,砂川市,北海道砂川市
01,北海道,01227,歌志内市,北海道歌志内市
01,北海道,01228,深川市,北海道深川市
01,北海道,01229,富良野市,北海道富良野市
01,北海道,01230,登別市,北海道登別市
01,北海道,01231,恵庭市,北海道恵庭市
01,北海道,01233,伊達市,北海道伊達市
01,北海道,01234,北広島市,北海道北広島市
01,北海道,01235,石狩市,北海道石狩市
01,北海道,01236,北斗市,北海道北斗市
01,北海道,01303,石狩郡当別町,北海道石狩郡当別町
01,北海道,01304,石狩郡新篠津村,北海道石狩郡新篠津村
01,北海道,01331,松前郡松前町,北海道松前郡松前町
01,北海道,01332,松前郡福島町,北海道松前郡福島町
01,北海道,01333,上磯郡知内町,北海道上磯郡知内町
01,北海道,01334,上磯郡木古内町,北海道上磯郡木古内町
01,北海道,01337,亀田郡七飯町,北海道亀田郡七飯町
01,北海道,01343,茅部郡鹿部町,北海道茅部郡鹿部町
01,北海道,01345,茅部郡森町,北海道茅部郡森町
01,北海道,01346,二海郡八雲町,北海道二海郡八雲町
01,北海道,01347,山越郡長万部町,北海道山越郡長万部町
01,北海道,01361,檜山郡江差町,北海道檜山郡江差町
01,北海道,01362,檜山郡上ノ国町,北海道檜山郡上ノ国町
01,北海道,01363,檜山郡厚沢部町,北海道檜山郡厚沢部町
01,北海道,01364,爾志郡乙部町,北海道爾志郡乙部町
01,北海道,01367,奥尻郡奥尻町,北海道奥尻郡奥尻町
01,北海道,01370,瀬棚郡今金町,北海道瀬棚郡今金町
01,北海道,01371,久遠郡せたな町,北海道久遠郡せたな町
01,北海道,01391,島牧郡島牧村,北海道島牧郡島牧村
01,北海道,01392,寿都郡寿都町,北海道寿都郡寿都町
01,北海道,01393,寿都郡黒松内町,北海道寿都郡黒松内町
01,北海道,01394,磯谷郡蘭越町,北海道磯谷郡蘭越町
01,北海道,01395,虻田郡ニセコ町,北海道虻田郡ニセコ町
01,北海道,01396,虻田郡真狩村,北海道虻田郡真狩村
01,北海道,01397,虻田郡留寿都村,北海道虻田郡留寿都村
01,北海道,01398,虻田郡喜茂別町,北海道虻田郡喜茂別町
01,北海道,01399,虻田郡京極町,北海道虻田郡京極町
01,北海道,01400,虻田郡倶知安町,北海道虻田郡倶知安町
01,北海道,01401,岩内郡共和町,北海道岩内郡共和町
01,北海道,01402,岩内郡岩内町,北海道岩内郡岩内町
01,北海道,01403,古宇郡泊村,北海道古宇郡泊村
01,北海道,01404,古宇郡神恵内村,北海道古宇郡神恵内村
01,北海道,01405,積丹郡積丹町,北海道積丹郡積丹町
01,北海道,01406,古平郡古平町,北海道古平郡古平町
01,北海道,01407,余市郡仁木町,北海道余市郡仁木町
01,北海道,01408,余市郡余市町,北海道余市郡余市町
01,北海道,01409,余市郡赤井川村,北海道余市郡赤井川村
01,北海道,01423,空知郡南幌町,北海道空知郡南幌町
01,北海道,01424,空知郡奈井江町,北海道空知郡奈井江町
01,北海道,01425,空知郡上砂川町,北海道空知郡上砂川町
01,北海道,01427,夕張郡由仁町,北海道夕張郡由仁町
01,北海道,01428,夕張郡長沼町,北海道夕張郡長沼町
01,北海道,01429,夕張郡栗山町,北海道夕張郡栗山町
01,北海道,01430,樺戸郡月形町,北海道樺戸郡月形町
01,北海道,01431,樺戸郡浦臼町,北海道樺戸郡浦臼町
01,北海道,01432,樺戸郡新十津川町,北海道樺戸郡新十津川町
01,北海道,01433,雨竜郡妹背牛町,北海道雨竜郡妹背牛町
01,北海道,01434,雨竜郡秩父別町,北海道雨竜郡秩父別町
