prefcode,prefname,regioncode,regionname
01,北海道,01,北海道
02,青森県,02,東北
03,岩手県,02,東北
04,宮城県,02,東北
05,秋田県,02,東北
06,山形県,02,東北
07,福島県,02,東北
15,新潟県,02,東北
08,茨城県,03,関東
09,栃木県,03,関東
10,群馬県,03,関東
11,埼玉県,03,関東
12,千葉県,03,関東
13,東京都,03,関東
14,神奈川県,03,関東
19,山梨県,03,関東
16,富山県,04,北陸
17,石川県,04,北陸
18,福井県,04,北陸
20,長野県,05,中部
21,岐阜県,05,中部
22,静岡県,05,中部
23,愛知県,05,中部
24,三重県,05,中部
25,滋賀県,06,近畿
26,京都府,06,近畿
27,大阪府,06,近畿
28,兵庫県,06,近畿
29,奈良県,06,近畿
30,和歌山県,06,近畿
31,鳥取県,07,中国
32,島根県,07,中国
33,岡山県,07,中国
34,広島県,07,中国
35,山口県,07,中国
36,徳島県,08,四国
37,香川県,08,四国
38,愛媛県,08,四国
39,高知県,08,四国
40,福岡県,09,九州
41,佐賀県,09,九州
42,長崎県,09,九州
43,熊本県,09,九州
44,大分県,09,九州
45,宮崎県,09,九州
46,鹿児島県,09,九州
47,沖縄県,10,沖縄
